column,dtype,non_null,null_pct
ref,object,397,0.0
url,object,397,0.0
listing_name,object,397,0.0
price_value,float64,397,0.0
currency,object,397,0.0
suburb,object,397,0.0
address_region,object,397,0.0
address_country,object,397,0.0
visible_location,object,397,0.0
bedrooms,int64,397,0.0
bathrooms,float64,397,0.0
floor_area_m2,float64,362,8.82
floor_area_unit,object,362,8.82
land_area_m2,float64,347,12.59
stand_size_unit,object,390,1.76
description,object,397,0.0
date_posted,object,397,0.0
sitemap_lastmod,object,397,0.0
agency_name,object,397,0.0
photo_count,int64,397,0.0
photo_urls,object,397,0.0
scrape_timestamp,object,397,0.0
likely_relisted_duplicate,bool,397,0.0
price_usd,float64,397,0.0
fx_rate_applied,float64,0,100.0
fx_assumption,object,397,0.0
bedrooms_imputed,bool,397,0.0
bathrooms_imputed,bool,397,0.0
has_land_area_m2,bool,397,0.0
has_floor_area_m2,bool,397,0.0
outlier_flag,object,24,93.95
flag_unpainted,bool,397,0.0
flag_painted,bool,397,0.0
flag_paved,bool,397,0.0
flag_unpaved,bool,397,0.0
flag_walled,bool,397,0.0
flag_unfenced,bool,397,0.0
flag_electric_fence,bool,397,0.0
flag_security_24hr,bool,397,0.0
flag_ceiling_fitted,bool,397,0.0
flag_no_ceiling,bool,397,0.0
flag_kitchen_fitted,bool,397,0.0
flag_kitchen_unfitted,bool,397,0.0
flag_tiled,bool,397,0.0
flag_screeded_bare_floor,bool,397,0.0
flag_borehole,bool,397,0.0
flag_water_tank,bool,397,0.0
flag_municipal_only,bool,397,0.0
flag_solar,bool,397,0.0
flag_zesa_good,bool,397,0.0
flag_ensuite,bool,397,0.0
flag_bics,bool,397,0.0
flag_staff_quarters,bool,397,0.0
flag_title_deeds,bool,397,0.0
flag_cession,bool,397,0.0
construction_stage_ordinal,int64,397,0.0
has_image_features,bool,397,0.0
