phrase,doc_frequency
family home,88
m² stand,61
house sale,42
double storey,33
lounge dining,28
harare north,26
bedroom home,25
home offers,23
harare west,22
bedroom house,21
set generous,19
single storey,19
bedroom bathroom,18
living space,18
park harare,18
main house,18
property offers,17
mount pleasant,17
bedrooms bathrooms,16
spacious bedroom,16
home sale,16
storey family,16
home generous,16
storey family home,14
pleasant heights,14
open plan,14
bedrooms main,13
bedroomed house,13
dining kitchen,12
000 m²,12
main bedroom,12
m² living,12
asking price,12
bedroom bath,12
dining room,12
mount pleasant heights,12
family home generous,12
storey home,11
m² living space,11
300 m²,11
