flag,category,ref,verbatim_snippet
flag_unpainted,paint,RVL179549,...in Hogerty Hill that you can finish to your own taste.  This property comprises of...
flag_unpainted,paint,SEF222518,"...A home to finish to your own taste in Rydale Ridge Park, Harare..."
flag_painted,paint,PGP237402,...2000sqm being a plastered and painted brick wall under Marley tiles...
flag_painted,paint,SMY254002,"...for Sale - $42,000  
Neatly painted 6-roomed house on a 200sqm st..."
flag_paved,paving,SIGH254646,...inished to a high standard. A paved driveway and...
flag_paved,paving,BNJR255255,"...ary with an electric gate and paved approach. Inside, the layout..."
flag_walled,security,TSK229400,"...d lounge with a fire place. 
Walled and gated
Corner stand 
600..."
flag_walled,security,TEH215309,"...5000liter water tank,borehole,Walled and gated.On 2300sqm.The pric..."
flag_electric_fence,security,GRM243176,"...nks, solar back up, borehole, electric fence alarm, walled and..."
flag_security_24hr,security,XDS255241,"...Located in a modern, secure gated community, this beautifully finished ho..."
flag_security_24hr,security,BNJR250220,...in the prestigious Mabvazuva gated community. Perfect for families or...
flag_kitchen_fitted,kitchen,GRM248294,"...main ensuite, lounge, dining, fitted kitchen with stove & hob, other bath..."
flag_kitchen_fitted,kitchen,MCT252456,"...2 bathrooms (main en suite), fitted kitchen & laundry, covered veranda, c..."
flag_tiled,flooring,P43251721,"...L 2 roomed core house, floor tiled , fenced right round , zesa ,..."
flag_tiled,flooring,RWS255499,"...² of living space. This neat, tiled home offers a bright..."
flag_borehole,water,P43251721,"...d right round , zesa ,there , borehole water , council cession ,on 3..."
flag_borehole,water,TEH238659,"...dining, kitchen, 6kva solar, borehole, solar..."
flag_water_tank,water,GRM248294,"...ed cottage; Storerooms, 5000l water tank, 4kv solar..."
flag_water_tank,water,TEH215309,"...ate toilet and bath.5000liter water tank,borehole,Walled and gated.On..."
flag_solar,power,TEH238659,"...p lounge and dining, kitchen, 6kva solar, borehole, solar..."
flag_solar,power,GRM248294,"...erooms, 5000l water tank, 4kv solar..."
flag_zesa_good,power,RWS245674,"...toilet
. Boundary walled
. Zesa connected
...."
flag_zesa_good,power,P43251734,"...sqms , with a 3 beds cottage ,zesa connected , council water available, fl..."
flag_ensuite,layout,TEH238659,"...at 4 beds house main bed with ensuite (tub and shower), guest bath..."
flag_ensuite,layout,SMY242485,...atures 4 bedrooms – main with en-suite and walk-in...
flag_bics,layout,TSK229400,"...laudina with main ensuite and BICs Spacious Kitchen, dining and..."
flag_bics,layout,RWS248279,"...VE
$110 000|DEED
4beds with bic space 1 bedroom ensuite. Kitc..."
flag_staff_quarters,layout,JSPP229958,"...harming 3-bedroom, 2-bathroom cottage sits on a generous 6,000 m² s..."
flag_staff_quarters,layout,GRM248294,"...other bath & toilet, 2 roomed cottage; Storerooms, 5000l water tank..."
flag_title_deeds,title,RWS252004,"...sale 

$900 000 | 4200sqm | Title Deeds

Situated within the esteem..."
flag_title_deeds,title,SMY242485,"...Bedroom House for Sale – Full Title Deeds

Spacious family home on a..."
flag_cession,title,P43251721,"...re , borehole water , council cession ,on 300 sqms , USD 14k..."
flag_cession,title,RWE253756,"...ASSA PARK | $85,000 | COUNCIL CESSION*  

A neat 3-bedroom home o..."
