feature,perm_importance_mean,perm_importance_std
land_area_m2,0.5246013663363273,0.057276417614746875
suburb,0.2123620251147683,0.027802215255698162
bathrooms,0.08935438642707037,0.02194506665643733
flag_cession,0.027801255272949695,0.014860106135579938
bedrooms,0.01593509259485476,0.005850577198938108
flag_ensuite,0.0015356536091839846,0.005157570193280514
flag_water_tank,0.0002612670945842388,0.0001343420272989449
flag_walled,0.00018813005041987685,0.00010006075067786075
flag_tiled,2.0660777692321774e-05,6.198233307696533e-05
flag_unpainted,0.0,0.0
flag_paved,0.0,0.0
flag_painted,0.0,0.0
flag_zesa_good,0.0,0.0
flag_ceiling_fitted,0.0,0.0
flag_electric_fence,0.0,0.0
flag_unfenced,0.0,0.0
flag_unpaved,0.0,0.0
flag_municipal_only,0.0,0.0
flag_kitchen_unfitted,0.0,0.0
flag_no_ceiling,0.0,0.0
flag_screeded_bare_floor,0.0,0.0
flag_solar,0.0,0.0
flag_security_24hr,-1.748963645198387e-05,5.2468909355951616e-05
flag_borehole,-0.00040629739400724894,0.000981264624239034
flag_title_deeds,-0.0006323800398748469,0.0009669083450522034
flag_bics,-0.0017791884482820485,0.001286642521088224
flag_staff_quarters,-0.0018970487567247063,0.004049256839608246
flag_kitchen_fitted,-0.004796343524150093,0.0036791124599818417
