suburb,mean,count
Borrowdale Brooke,1.3918444,1
Mount Pleasant,0.6150982,5
Avondale,0.58212584,1
Quinnington,0.42520648,1
Pomona,0.36509007,1
Borrowdale West,0.33823508,1
Brookview,0.28388044,1
Borrowdale,0.2563786,2
Mount Pleasant Heights,0.25067994,2
Highlands,0.24965002,2
Ruwa,0.24847308,1
Alexandra Park,0.22493556,1
Eastlea,0.22374786,2
Vainona,0.09870201,1
Rolf Valley,0.06913627,1
Helensvale,0.047867596,1
Arlington,0.04109393,1
Greystone Park,0.03404697,2
Budiriro,0.0076018954,1
Mt Pleasant Heights,-0.002977316,1
Windsor Park,-0.003950689,1
Hogerty Hill,-0.006437514,1
Avondale - The Ridge,-0.008262507,1
Northwood,-0.0093541965,1
Emerald Hill,-0.009808287,1
Erasmus Park,-0.013773251,1
Crowhill Views,-0.017395966,1
Mabvazuva,-0.017405475,1
Queensdale,-0.018103182,1
New Marlborough,-0.019713309,1
Philadelphia,-0.020119928,1
Bloomingdale,-0.02088718,1
Tynwald,-0.02348267,2
Rainham,-0.024830822,1
Fidelity,-0.027554438,1
Belvedere,-0.028467905,2
Marlborough,-0.030228836,4
Dzivarasekwa,-0.031073082,2
Dawnview Park,-0.046924226,1
Sandton Park,-0.1287677,1
Goodhope,-0.16061515,1
Mainway Meadows,-0.1638945,2
Hatfield,-0.19163896,1
Carrick Creagh,-0.2441477,1
Rockview,-0.32109642,2
Chitungwiza,-0.6657717,3
Knowe,-0.7882885,1
Charlotte Brooke,-0.94109994,1
Granary Park,-0.947614,2
