,coefficient,pct_price_effect,p_value,ci_low_pct,ci_high_pct
Intercept,12.76138994952589,34849775.94618043,1.0334821808834996e-59,15823320.026319314,76754094.1908922
C(suburb)[T.Arlington],-0.8592979563983764,-57.65407351445666,0.04743397510791038,-81.89001420804263,-0.9840476674813914
C(suburb)[T.Ashbrittle],-0.619481130626324,-46.177636708523174,0.26557368771323364,-82.02499488183551,61.159719913088
C(suburb)[T.Ashdown Park],-1.1028766865170303,-66.80851060717963,0.04875250552431921,-88.91544118651824,-0.6117440800820662
C(suburb)[T.Aspindale Park],-1.3871453093957566,-75.02126465805144,0.002758380049367961,-89.82638496757282,-38.67104099237242
C(suburb)[T.Athlone],-0.6926018352211144,-49.97272529666825,0.22782212266665766,-83.86230331813088,55.08583805856626
C(suburb)[T.Avondale],-0.1292890219865735,-12.128004054764418,0.8158604995651366,-70.66369498203703,163.20586954190514
C(suburb)[T.Avondale West],-0.6402305367833621,-47.2829122245298,0.147167027365045,-77.88937017232276,25.690284048257595
C(suburb)[T.Bloomingdale],-1.0426807922780936,-64.74915876803914,0.06262839475102658,-88.24877826740773,5.7440524770690615
C(suburb)[T.Bluff Hill],-0.8534822194090033,-57.407083224320374,0.07837352817047487,-83.55826985750556,10.33854367741971
C(suburb)[T.Borrowdale],-0.39392639919982564,-32.55963089348567,0.36112380446870695,-71.20184933533012,57.933870066271886
C(suburb)[T.Borrowdale Brooke],0.6183705893806056,85.59015511219363,0.1616118978487283,-22.20186354263468,342.73175737883923
C(suburb)[T.Borrowdale West],-0.2814407788158807,-24.530439168053242,0.612386238861066,-74.80615232778622,126.0732336827072
C(suburb)[T.Brookview],-0.24672829259343573,-21.86470359201881,0.6087315475163617,-69.84231635247784,102.44010170405411
C(suburb)[T.Budiriro],-1.6044149279021565,-79.89928758265478,0.00453800355530931,-93.295224580728,-39.738676626891845
C(suburb)[T.Carrick Creagh],-0.6909062576196116,-49.887828215762454,0.11971035901182588,-79.06725287316388,19.966564623211692
C(suburb)[T.Charlotte Brooke],-2.0811480958802346,-87.52131373580958,3.1379338286223726e-05,-95.18078761372716,-67.68816179929229
C(suburb)[T.Chisipite],-0.014782946673884741,-1.467421536680269,0.9754617517418563,-61.88506907641539,154.72088715298625
C(suburb)[T.Chitungwiza],-2.6274309171034926,-92.77361241471978,6.331144202100362e-08,-97.06303854954824,-82.21948826578587
C(suburb)[T.Cold Comfort],-2.6458688027304484,-92.90563091152615,5.3034333552865215e-06,-97.63360867555156,-78.73129763302175
C(suburb)[T.Colne Valley],0.060616768363610476,6.249165573913973,0.9131636937367089,-64.57924782327105,218.7082286911361
C(suburb)[T.Dawnview Park],-1.4529868184090975,-76.61292854911976,0.00992775767730225,-92.19825193736986,-29.893261528341807
C(suburb)[T.Dzivarasekwa],-2.1479065960593418,-88.32717384168026,0.00018466076571594877,-96.11974632518564,-64.8850611477426
C(suburb)[T.Eastlea],-0.49556656607844896,-39.0774357085395,0.372886464874682,-79.66353166164429,82.5075415305484
C(suburb)[T.Fairview],-1.2058789209359717,-70.05712903370389,0.00898242233044687,-87.81138259214914,-26.441573174102405
C(suburb)[T.Glaudina],-1.6683782764547481,-81.14474019850203,0.0007214288741564283,-92.71727445903035,-51.18299870261893
C(suburb)[T.Glen Lorne],-0.06141923844044799,-5.957110682336864,0.8865329803420458,-59.82831031502569,120.15666008995996
C(suburb)[T.Glen Norah],-1.9096237213360543,-85.18638834301703,0.00012826337264257954,-94.29709936527954,-61.520793648781805
C(suburb)[T.Glen View],-2.080671382100115,-87.51536355595597,0.00028853721026219324,-95.85409561812183,-62.40478969528418
C(suburb)[T.Gletwin Park],-0.24692510944095422,-21.880080421478564,0.5759588599965895,-67.33365603776534,86.81986089444138
C(suburb)[T.Goodhope],-1.0955990353731737,-66.56607340980045,0.024101832447074856,-87.06309039639252,-13.593935376409739
C(suburb)[T.Granary Park],-2.6616602553796085,-93.01678138158047,1.8187082360199782e-07,-97.29934871958673,-81.94311771152518
C(suburb)[T.Greengrove],-0.35374032701922375,-29.794275101391765,0.4627010115831629,-72.86979005357436,81.6736331297144
C(suburb)[T.Greystone Park],-0.17403915874775416,-15.973600667157218,0.7001216053450663,-65.58723178668038,105.16907390523693
C(suburb)[T.Gunhill],0.04357662888718163,4.454003318570177,0.9374375891832853,-65.13088087690329,212.90262225319157
C(suburb)[T.Hatcliffe],-2.2124631395443175,-89.05692269829325,0.00012073980984746693,-96.36248608570475,-67.07890508390521
C(suburb)[T.Hatfield],-0.8626334108255731,-57.79508112946095,0.0513749115693762,-82.2804337061822,0.5247615733261712
C(suburb)[T.Haydon Park],-1.3768166612873625,-74.76193111354188,0.004867398042142924,-90.23896438230933,-34.74461665079935
C(suburb)[T.Helensvale],-0.2546003121535411,-22.477371542781587,0.5981352454392193,-70.13898456870396,101.25765437358045
C(suburb)[T.Highfield],-2.136634936544597,-88.19485740765327,0.00019184314720831856,-96.06481383389448,-64.58581989691265
C(suburb)[T.Highlands],-0.005336831258036228,-0.5322615674065001,0.989970585796506,-57.01658223566298,130.17785703173354
C(suburb)[T.Hillside],-0.7682717276799339,-53.61860271277423,0.11222622713822775,-82.07614229949355,20.020703704576405
