ref,split
PLZP227760,train
TPR255276,train
PTK251456,train
ALX251403,train
PTK252134,train
RRT247503,train
BTR232384,train
RWS252004,train
PRCL253419,train
RWS249507,train
RWS204704,train
TEH252818,train
GLRE255103,train
MCT253391,train
PHL254549,train
HOS252763,train
SSPS250666,train
VENT246868,train
EPG251398,train
PSP254343,train
MRPG255065,train
IPPR249074,train
RWS255649,train
GAT252955,train
SEF251950,train
RVL179549,train
RRT252360,train
RWS252629,train
DDN254858,train
KNP218587,train
KNP183032,train
JSPP223091,train
RWS225335,train
CRO252075,train
PPK252397,train
IREW250066,train
OAS241082,train
RWS253435,train
GAT252807,train
LNVP254947,train
CRO251394,train
LVP254752,train
DING245765,train
LVRE225037,train
SMY254002,train
GLRE250429,train
RRT251809,train
KNP246031,train
LNVP252832,train
SMY250615,train
PGP237402,train
GAT251125,train
GAT255359,train
ZANE251512,train
RRT254600,train
RWS210803,train
GAT245488,train
RWS247363,train
JSPP251627,train
GAT234487,train
HEE254376,train
CAMI252312,train
KHA254719,train
SEF254925,train
AKP244338,train
CHAS249759,train
TEH215309,train
t28254020,train
IPPR249809,train
BNJR250220,train
ACH255340,train
OAS251935,train
PLZP236649,train
t27255097,train
PRCL253596,train
SMY240796,train
RWS251833,train
Quinnington ,train
GAT246542,train
SEF254618,train
BNJR255255,train
NST248051,train
RWS238047,train
CLRP246232,train
LAW255586,train
BRST255476,train
JSPP209242,train
TSK229400,train
XDS243180,train
WATERFALLSMAINWAY,train
PGP236801,train
SMY214988,train
LEG250631,train
SSPS238513,train
TEH252209,train
KHA253104,train
TRZ254154,train
LEG252244,train
TEH255729,train
PLZP247918,train
GRM243176,train
PGP249990,train
PGP242011,train
SEF250208,train
GRY245171,train
JSPP239125,train
XDS243942,train
SEF248905,train
RWE246419,train
TRZ254112,train
SEF252104,train
HTNP242406,train
LEG252801,train
KHA254716,train
JSPP245580,train
PGP188972,train
PLZP250577,train
TEH238659,train
OHRE253530,train
ACH248158,train
KHA251239,train
GAT255677,train
XDS254502,train
RHB255305,train
KNP249491,train
SEF222518,train
HEE253587,train
GAT254794,train
TEH197840,train
APS5984,train
RWS248267,train
PRCL250722,train
NVL252693,train
KNP190333,train
PGP244025,train
JSPP252719,train
PGP254344,train
TRZ254125,train
CHAS251429,train
PNET255233,train
PSP250568,train
RWS254345,train
P16255196,train
VENT232246,train
RWS246835,train
LCRE226263,train
DRF255617,train
TSK252946,train
TPR254651,train
RWS255157,train
GRM248294,train
HTNP251983,train
RWS251818,train
PRCL197488,train
EK0027,train
KNP217157,train
CAC243758,train
KHA241256,train
ICP239403,train
SBY240802,train
GLRE251008,train
HTNP247528,train
GPP254899,train
GAT250953,train
KHA237007,train
MAC254472,train
PRN195191,train
SEF248328,train
RWS239314,train
CAC237704,train
RVL254411,train
GAT250995,train
HFP255183,train
SMY252043,train
RWS240664,train
JSPP212260,train
BLMP248537,train
PNET255230,train
RWS255517,train
MTX241861,train
PBOX249411,train
PGP255058,train
GBY252882,train
GAT252774,train
RWS247538,train
RWE251654,train
RWS252798,train
TSK250377,train
ZANE254543,train
PTK235602,train
RWS250100,train
PSN253022,train
JSPP229294,train
OAS243463,train
PPK249113,train
SEF254898,train
P43251721,train
Borrowdale Estate,train
PGP251506,train
JSPP211982,train
XDS251879,train
RWS241484,train
RRT235457,train
PRCL245240,train
RRT227748,train
EK0030,train
PRL255623,train
PRCL248722,train
NST254726,train
DDN242451,train
JSPP220058,train
CLRP252341,train
SLOANEPD,train
PGP245377,train
CAC238525,train
RWS254703,train
RRT254864,train
PRCL248357,train
GLRE241607,train
PGP242543,train
GAT253513,train
SIGH254646,train
PGP246870,train
PTD228127,train
SEF188772,train
TEH255068,train
PGP247776,train
RPR245668,train
GAT244289,train
KNP235105,train
RPR254937,train
RWS255538,train
FAC251844,train
RWS245674,train
KNP251697,train
AEGP253988,train
PLZP255204,train
NHB242957,train
WDB239413,val
LEG252714,val
AKP253967,val
LEG252754,val
WDB254865,val
RRT242811,val
VEPR242000,val
GAT249082,val
SEF254714,val
RWS230526,val
ALX244882,val
MAC234387,val
RPR249358,val
PRCL254327,val
LEG238392,val
JSPP251315,val
RRT247860,val
KNP254613,val
RWS254263,val
PGP254036,val
PGP185945,val
CHN250137,val
RWS242664,val
PGP253653,val
PGP254610,val
LAW228516,val
RWS254076,val
PGP254482,val
ALX245701,val
P43251734,val
GAT251127,val
ALX246416,val
TWP254706,val
MCT252456,val
PGP240471,val
KHA253105,val
MAC255590,val
RWS248144,val
GAT255405,val
TEH225897,val
GAT253656,val
ICP242104,val
PRL254547,val
NPRE241625,val
LCRE243367,val
P43251732,val
AKP249202,val
CREZ241506,val
